('Gaming Hardware', 'main_category_Games', 'USD', 'US', 11424, 10, 2011, 4) ('year_launched', 2011)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 18615, 10, 2011, 4) ('goal_level', 18615)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 18615, 10, 2011, 4) ('year_launched', 2011)
('Video Games', 'main_category_Games', 'USD', 'US', 18615, 10, 2011, 4) ('category', 'Video Games')
('Video Games', 'main_category_Games', 'USD', 'US', 660697, 10, 2011, 4) ('goal_level', 660697)
('Video Games', 'main_category_Games', 'USD', 'US', 660697, 10, 2011, 11) ('month_launched', 11)
('Video Games', 'main_category_Games', 'USD', 'US', 2406, 10, 2011, 11) ('goal_level', 2406)
('Video Games', 'main_category_Games', 'USD', 'US', 2406, 90, 2011, 11) ('duration', 90)
('Video Games', 'main_category_Games', 'USD', 'US', 923, 90, 2011, 11) ('goal_level', 923)
('Video Games', 'main_category_Games', 'USD', 'US', 923, 90, 2011, 11) ('year_launched', 2011)
('Video Games', 'main_category_Games', 'USD', 'US', 923, 90, 2011, 11) ('goal_level', 923)
('Video Games', 'main_category_Games', 'USD', 'US', 923, 90, 2012, 11) ('year_launched', 2012)
('Animals', 'main_category_Photography', 'USD', 'US', 923, 90, 2012, 11) ('main_category', 'main_category_Photography')
('Animals', 'main_category_Photography', 'USD', 'US', 923, 90, 2013, 11) ('year_launched', 2013)
('Animals', 'main_category_Photography', 'USD', 'US', 923, 90, 2013, 10) ('month_launched', 10)
('Animals', 'main_category_Photography', 'USD', 'US', 923, 90, 2012, 10) ('year_launched', 2012)
('Animals', 'main_category_Photography', 'USD', 'US', 923, 90, 2012, 1) ('month_launched', 1)
('Embroidery', 'main_category_Crafts', 'USD', 'US', 923, 90, 2012, 1) ('main_category', 'main_category_Crafts')
('Letterpress', 'main_category_Crafts', 'USD', 'US', 923, 90, 2012, 1) ('category', 'Letterpress')
('Quilts', 'main_category_Crafts', 'USD', 'US', 923, 90, 2012, 1) ('category', 'Quilts')
('Quilts', 'main_category_Crafts', 'USD', 'US', 923, 90, 2012, 4) ('month_launched', 4)
('Knitting', 'main_category_Crafts', 'USD', 'US', 923, 90, 2012, 4) ('category', 'Knitting')
('Knitting', 'main_category_Crafts', 'USD', 'US', 923, 70, 2012, 4) ('duration', 70)
('Knitting', 'main_category_Crafts', 'USD', 'US', 54960, 70, 2012, 4) ('goal_level', 54960)
('Letterpress', 'main_category_Crafts', 'USD', 'US', 54960, 70, 2012, 4) ('category', 'Letterpress')
('Letterpress', 'main_category_Crafts', 'USD', 'US', 208, 70, 2012, 4) ('goal_level', 208)
('Knitting', 'main_category_Crafts', 'USD', 'US', 208, 70, 2012, 4) ('category', 'Knitting')
('Crafts', 'main_category_Crafts', 'USD', 'US', 208, 70, 2012, 4) ('category', 'Crafts')
('Plays', 'main_category_Theater', 'USD', 'US', 208, 70, 2012, 4) ('main_category', 'main_category_Theater')
('Plays', 'main_category_Theater', 'USD', 'US', 4868, 70, 2012, 4) ('goal_level', 4868)
('Makerspaces', 'main_category_Technology', 'USD', 'US', 4868, 70, 2012, 4) ('main_category', 'main_category_Technology')
('Makerspaces', 'main_category_Technology', 'USD', 'US', 4868, 70, 2012, 4) ('goal_level', 4868)
